pypsa_component,reservoir_id,p_nom_mw,e_nom_mwh,energy_capacity_method,soc_source,soc_proxy_reservoir,initial_soc_method,terminal_soc_method,boundary_data_resolution,soc_boundary_tolerance_pu,weekly_balance_method,efficiency,head_m,data_quality,source,p_nom_source,notes
Mettur_downstream,Mettur_downstream,,22549121.66982,observed_or_documented_proxy,downstream_sink,,zero,none,none,0.05,none,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,"Terminal sink for turbine discharge, irrigation release, and spill."
Periyar_reservoir,Periyar_reservoir,,73405.54242,observed_or_documented_proxy,observed_agriculture,,observed_daily,observed_daily_target,daily,0.05,seasonal_observed,0.9,100.0,high,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Seasonal Periyar reservoir with explicit turbine and non-generating release paths.
Periyar_downstream,Periyar_downstream,,4453405.54242,observed_or_documented_proxy,downstream_sink,,zero,none,none,0.05,none,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,"Terminal sink for turbine discharge, irrigation release, and spill."
Parambikulam,Parambikulam,,93434.07452399998,observed_or_documented_proxy,observed_agriculture,,observed_daily,observed_daily_target,daily,0.05,seasonal_observed,0.9,100.0,high,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Seasonal source for PAP.
Thunacadavu,Thunacadavu,,14015.111178599996,observed_or_documented_proxy,endogenous_pondage,,proxy_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Initial fraction may use the connected Parambikulam SOC proxy; weekly water-neutral thereafter.
Sholayar,Sholayar,,35042.986476,observed_or_documented_proxy,observed_agriculture,,observed_daily,observed_daily_target,daily,0.05,seasonal_observed,0.9,100.0,high,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Observed daily Agriculture storage/inflow.
Upper_Aliyar,Upper_Aliyar,,93434.07452399998,observed_or_documented_proxy,proxy_connected_reservoir,,proxy_fraction,proxy_target,proxy,0.05,seasonal_observed,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,PAP seasonal proxy; lower Aliyar absolute storage is not copied.
Lower_Aliyar,Lower_Aliyar,,93434.07452399998,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Receives PAP turbine discharge.
PAP_downstream,PAP_downstream,,2411911.135524,observed_or_documented_proxy,downstream_sink,,zero,none,none,0.05,none,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,"Terminal sink for non-generating PAP irrigation releases, spill, and lower-pondage outflow."
Kadamparai,Kadamparai,,2666.6666666666665,observed_or_documented_proxy,assumed,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,No upper-reservoir observation: neutral initial fraction and weekly water-neutral boundary; pumping is not natural inflow.
Upper_Kodayar,Upper_Kodayar,,30209.4711,observed_or_documented_proxy,proxy_connected_reservoir,,proxy_fraction,proxy_target,proxy,0.05,explicit_assumption,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Provisional Pechiparai normalized seasonal proxy until monthly Kodayar group energy is loaded.
Kodayar_II_forebay,Kodayar_II_forebay,,3020.94711,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Intermediate pondage; no invented seasonal trajectory.
Kodayar_downstream,Kodayar_downstream,,3020.94711,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Downstream Kodayar routing sink.
Upper_Bhavani,Upper_Bhavani,,399600.0,observed_or_documented_proxy,monthly_group_energy,,monthly_interpolated,monthly_interpolated_tolerance,monthly,0.05,seasonal_interpolated,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,SRPC monthly stored-energy boundary method; provisional neutral fraction until the series is loaded.
Kundah_pondage,Kundah_pondage,,39960.0,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Aggregated intermediate Kundah pondage.
Kundah_downstream,Kundah_downstream,,2160.0,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Downstream routing sink.
Pykara,Pykara,,42624.0,observed_or_documented_proxy,monthly_group_energy,,monthly_interpolated,monthly_interpolated_tolerance,monthly,0.05,seasonal_interpolated,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,SRPC monthly stored-energy boundary method; provisional neutral fraction until the series is loaded.
Glenmorgan_forebay,Glenmorgan_forebay,,10800.0,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,No artificial seasonal forebay profile.
Moyar_pondage,Moyar_pondage,,2880.0,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Downstream Pykara cascade pondage.
Pykara_downstream,Pykara_downstream,,2880.0,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,low,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Downstream routing sink.
Papanasam_reservoir,Papanasam_reservoir,,38195.882999999994,observed_or_documented_proxy,observed_agriculture,,observed_daily,observed_daily_target,daily,0.05,seasonal_observed,0.9,100.0,high,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Seasonal upper reservoir; the Agriculture Papanasam observations apply here only.
Servalar_reservoir,Servalar_reservoir,,3819.5882999999994,observed_or_documented_proxy,endogenous_pondage,,proxy_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Separate reservoir using the existing normalized group-storage proxy treatment until direct Servalar SOC observations are available.
Papanasam_lower_pondage,Papanasam_lower_pondage,,192.0,observed_or_documented_proxy,endogenous_pondage,,assumed_fraction,end_equals_start,none,0.05,end_equals_start,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Short-term diversion-weir/confluence pondage; configurable neutral initial SOC and retained-week end SOC equals start SOC.
Papanasam_downstream_river,Papanasam_downstream_river,,318515.883,observed_or_documented_proxy,downstream_sink,,zero,none,none,0.05,none,0.9,100.0,medium,Tamil Nadu Agriculture / documented first-pass assumption,not_applicable_store,Terminal water sink for Papanasam PH discharge; no seasonal or weekly-neutral SOC target.
