Name,Sector,Circuit Type,Executive Agency,Line Length (cKM),Month Of Completion,Year Of Completion (FY),matched_districts,matched_areas,matched_district_count,matched_area_count,endpoint0_district,endpoint1_district,area0,area1,is_tantransco,capacity_available,capacity_mw,capacity_note
"Narendra (New, Kudgi) - Narendra (Existing)",Central,D/C,PGCIL,354.0,NOV-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kashipur - Roorkee line,Central,S/C,PGCIL,302.0,DEC-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Khamam - Nagarjunasagar line ( By Vizag Transmission Ltd.),Central,D/C,PGCIL,290.0,JAN-16,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kurukshetra - Jallandhar (Ckt-II),Central,D/C,PGCIL,265.0,JAN-16,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Surjamaninagar (Tripura) - Indo-Bangladesh Border line (operated at 132 kV),Central,D/C,PGCIL,35.0,JAN-16,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Rangpo - New Melli line (Twin Moose) (20.5 D/C & 1.5 M/C),Central,MC+D/C,PGCIL,54.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Mariani (New) - Mokikchung (PG),Central,D/C,PGCIL,97.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kodarma-Giridih,Central,D/C,DVC,212.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Jabalpur - Bhopal (BDTCL),Private,S/C,SGL,274.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Jabalpur - Bina (JTCL),Private,S/C,SGL,245.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Dhramjaygarh - Jabalpur (JTCL),Private,D/C,SGL,758.0,SEP-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"LILO of both ckt, of Raigarh - Raipur at Akaltara TPP",Private,2xD/C,KSK LTD.,71.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Jhabua Power TPS  - Jabalpur Pooling Station.,Private,D/C,JHAPL,131.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Binjkote - Raigarh (Kotra) Pooling Station,Private,D/C,SKS,55.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
KSK Mahanadi (Warda Power) - Champa Pooling Station,Private,2xD/C,KSK LTD.,105.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Raikheda (GMR) - Raipur Pooling Station,Private,D/C,GMR ENERG,131.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Rosa - Shahjehanpur (PG),Private,D/C,RPTL,16.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Nasik - Bobleshwar (2nd Ckt),Private,D/C,IBPL,57.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kudgi STPS - Narendra,Private,2xD/C,KTCL,36.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of one ckt Karcham wangto - Abdullapur at Sorang HEP,Private,D/C,HSPPL,7.0,OCT-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Rajgarh (PG) - Karamsad (GETCO),Private,D/C,RPTL,486.0,DEC-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
TRN (TPP) - Raigarh PS (Tamnar),Private,D/C,TRNE,30.0,JAN-16,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of  One ckt of Korba (W) - Khedamara at Marwa,State,D/C,CSPTCL,116.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Aurangabad (Ektuni - III)  - Aurangabad -II (Thaptitanda) Ckt-II,State,S/C,MSETCL,5.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO point of IEPL to LILO point of Warora-Wardha line,State,D/C,MSETCL,97.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of one ckt Palatana - Bongaigaon at Byrnihat line,State,D/C,MeECL,4.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
MTPS Stage-III - Thiruvalam (Ckt-II) (Balance),State,D/C,TANTRANSCO,338.0,MAY-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of RTPS - Btps at YTPS,State,D/C,KPTCL,33.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Karaikudi-Pugalur,State,D/C,TANTRANSCO,320.0,JUN-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Krishnapatnam TPS- Chittoor(Balance),State,D/C,APTRANSCO,180.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Vizag TPP - Kalpaka,State,D/C,APTRANSCO,14.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Moga-Hisar line at RGTPS Khedar,State,D/C,HVPNL,2.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Meramundali-Duburi (1st Ckt),State,D/C,OPTCL,192.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Thiruvalam - Almathy,State,D/C,TANTRANSCO,143.0,AUG-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Purushottapatnam (Nunna) - Jujjuru,State,D/C,APTRANSCO,112.0,OCT-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Yemmiganur - Uravakonda,State,D/C,APTRANSCO,205.0,OCT-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Kalpaka - Khammam at Asupaka,State,D/C,TSTRANSCO,34.0,OCT-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Bikaner- Merta,State,S/C,RVPNL,172.0,NOV-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Srisailam - Hyderabad (Ckt-I) atYeddumailaram (Shankarapally),State,D/C,TSTRANSCO,158.0,NOV-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Singareni TPS (Jaipur TPP) - Gajwel,State,D/C,TSTRANSCO,325.0,NOV-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Jammalamadugu - Narnur (Kurnool),State,D/C,APTRANSCO,202.0,DEC-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Bhiwani - Bahadurgarh (PGCIL) at Kaboolpur S/S,State,D/C,HVPNL,13.0,DEC-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Koradi II- Wardh(PG) at Bela TPP,State,D/C,MSETCL,49.0,DEC-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Ib-Meramundali (Loc No. 122/0 to Meramundali),State,D/C,OPTCL,418.0,DEC-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Koradi TPS - Wardha,State,D/C,MSETCL,144.0,JAN-16,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Mundra (Adani) - Zerda line 2,State,D/C,GETCO,671.0,FEB-16,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Chandrapur - Parli ckt-II at Kumbhargaon (Nanded) S/S,State,D/C,MSETCL,88.0,FEB-16,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Korba  - Vishrampur at Churri,State,D/C,CSPTCL,30.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
"Mundka -Peeragarhi U/G 200 mm, 250 MW",State,D/C,DTL,26.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Asoj - Karamsad at Mogar S/S,State,D/C,GETCO,15.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Shivlakha - Deodhar line at PS-2,State,D/C,GETCO,56.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Gurgaon Sector  72 (PGCIL) - Gurgaon Sector  72 (HVPNL),State,D/C,HVPNL,1.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Gurgaon Sector 72 (PGCIL) - Gurgaon Sector 33 (HVPNL),State,D/C,HVPNL,7.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Badshahpur - Bhiwadi - Mau line at Panchgaon,State,D/C,HVPNL,3.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Bina - Gwalior at Datia,State,D/C,MPPTCL,2.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Ahmednagar - Jeur (Kaudgaon),State,S/C,MSETCL,53.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Babhaleshwar - Jeur (Kaudgaon),State,S/C,MSETCL,87.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Waluj Bahaleshwar - Deogaon Rangari S/S,State,D/C,MSETCL,26.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Tapping on Lonand Kandalgaon for Lonand MIDC,State,S/C,MSETCL,1.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Both Ckt Malerkotla - Barnala at Sandhaur,State,D/C,PSTCL,12.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Both Ckt Malerkotla - Pakhowal at Sandhaur,State,D/C,PSTCL,13.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Sanganer- Sitapura (Upgradation) Ckt-II,State,D/C,RVPNL,11.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Kadapperi - Guindy (UG Cable),State,S/C,TANTRANSCO,14.0,APR-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of 1st ckt of Shapurnagar - Gachibowlly line at Miyapur,State,D/C,TSTRANSCO,2.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Mamidipally - Fab city,State,D/C,TSTRANSCO,6.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Muzaffarnagar - Nara II at Jansath Ckt-II,State,D/C,UPPTCL,20.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Lalitpur  -  Lalitpur TPS (Ckt-II),State,D/C,UPPTCL,19.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Muzaffarnagar - Nara Ckt-II,State,D/C,UPPTCL,12.0,APR-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Masudpur-Samain line,State,D/C,HVPNL,91.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Bhatinda - Mukatsar (2nd CKt),State,D/C,PSTCL,23.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of one ckt Kotputli -Manoharpur at Kotputli (PG),State,D/C,RVPNL,12.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of one ckt Neemrana -Kotputli at Behror,State,D/C,RVPNL,31.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Shapur Nagar - Gachilbowli feeder at GIS Erragadda SS,State,"DC UG
cable",TSTRANSCO,19.0,MAY-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Charanka - Jangral,State,D/C,GETCO,193.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
SSNNL PS-I - PS-2 (ACSR Zebra conductor),State,D/C,GETCO,22.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Dumka - Rupnarayanpur,State,D/C,JSEB,147.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Damoh - Tikamgarh (2nd Ckt),State,D/C,MPPTCL,158.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Rewa - Ton at Sirmour,State,D/C,MPPTCL,10.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Chinchwad - Apta,State,M/C,MSETCL,30.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO (Tapping) of Dhule - Malegaon at Sayne,State,S/C,MSETCL,5.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Shedyal - Jath line,State,D/C,MSETCL,37.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Shivajinagar - Malegaon,State,S/C,MSETCL,114.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Shivajinagar - Satana,State,S/C,MSETCL,96.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Atri - Pandiabil,State,D/C,OPTCL,45.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Talwandi - Dharamkot,State,D/C,PSTCL,63.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Ajmer -Kishangarh line at Ajmer,State,D/C,RVPNL,11.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Khetri - Heerapura line at Babai,State,D/C,RVPNL,5.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Kuchamancity -Dhod at Deedwana,State,D/C,RVPNL,88.0,JUN-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Arasur 400 kV S/S - Karamadai 230 kV S/S,State,S/C,TANTRANSCO,39.0,JUN-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Kanjhawala - Najafgarh at Mundka 400 kV S/S,State,D/C,DTL,11.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of AD Hydro-Nalagarh at Fozal,State,D/C,HPPTCL,13.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Mau - Balwal,State,D/C,HVPNL,37.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Kandalgaon - Lonand at Lonand MIDC,State,D/C,MSETCL,8.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
Puri (Samangra) - Pandiabil,State,D/C,OPTCL,92.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Dhuri - Bangan at Chhajali (Loop in),State,D/C,PSTCL,29.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Mandawar -Nadbai- Bharatpur at  Chonkarwada,State,D/C,RVPNL,5.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Alamathy - Koyembedut Thiruverkkadu,State,D/C,TANTRANSCO,2.0,JUL-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Kalivanthapattu - Veerapuram at OMEGA,State,D/C,TANTRANSCO,39.0,JUL-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Neyveli Zero unit - Neyveli - TS-II at Ulundurpet,State,S/C,TANTRANSCO,52.0,JUL-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Shoolagiri - Singarapet at Gurabarapally,State,D/C,TANTRANSCO,2.0,JUL-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Ulundurpet - STCMS at Ulundurpet,State,D/C,TANTRANSCO,68.0,JUL-15,2015-16,,,0,0,,,,,True,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of both ckt Dindi - Chandrayangutta at Bonguloor,State,D/C,TSTRANSCO,2.0,JUL-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of  One Ckt Langpi - Sarusajai at Sonapur,State,D/C,AEGCL,2.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
LILO of Pusouli (PG) - Ara (PG) at Pusouli (New),State,D/C,BSEB,5.0,AUG-15,2015-16,,,0,0,,,,,False,False,,"Not derivable: source has no MW/MVA rating, structured voltage, or conductor rating"
